location,investigation_type,event_date,country,injury_severity,aircraft_category,make,model,number_of_engines,engine_type,total_fatal_injuries,total_uninjured,total_serious_injuries,total_minor_injuries,latitude,longitude,amateur_built,city,state
"snohomish, wa",accident,2002-11-29,united states,non-fatal,airplane,hughes,oh-6a,1.0,turbo jet,0.0,0.0,0.0,0.0,47.958056,-122.023056,no,snohomish,wa
"lindsay, ok",accident,2002-11-29,united states,fatal(1),airplane,cessna,172n,1.0,reciprocating,1.0,0.0,0.0,0.0,34.85,-97.586389,no,lindsay,ok
"pasco, wa",accident,2002-11-30,united states,non-fatal,airplane,piper,pa-46-350p,1.0,reciprocating,0.0,0.0,0.0,0.0,46.25,-119.120556,no,pasco,wa
"brevard, nc",accident,2002-12-01,united states,non-fatal,airplane,cessna,182j,1.0,reciprocating,0.0,0.0,3.0,0.0,35.270278,-82.4775,no,brevard,nc
"panaca, nv",accident,2002-12-01,united states,non-fatal,airplane,bell,47g-3b-1,1.0,reciprocating,0.0,0.0,0.0,0.0,37.790277,-114.425,no,panaca,nv
"jeffersonville, in",accident,2002-12-01,united states,non-fatal,airplane,piper,pa-34-200,2.0,reciprocating,0.0,0.0,0.0,0.0,38.365,-85.738333,no,jeffersonville,in
"chenega bay, ak",accident,2002-12-01,united states,non-fatal,airplane,piper,pa-18-150,1.0,reciprocating,0.0,0.0,0.0,0.0,59.783333,-148.083333,no,chenega bay,ak
"soldotna, ak",accident,2002-12-01,united states,non-fatal,airplane,piper,j5a,1.0,reciprocating,0.0,0.0,0.0,0.0,60.476111,-151.0325,no,soldotna,ak
"blountstown, fl",accident,2002-12-02,united states,non-fatal,airplane,consolidated aeronautics inc.,la-4-200,1.0,reciprocating,0.0,0.0,0.0,0.0,30.375278,-85.027778,no,blountstown,fl
"twentynine palm, ca",accident,2002-12-02,united states,non-fatal,airplane,cessna,150h,1.0,reciprocating,0.0,0.0,0.0,0.0,34.132223,-115.945833,no,twentynine palm,ca
"gainesville, ga",accident,2002-12-03,united states,non-fatal,airplane,beech,35-b33,1.0,reciprocating,0.0,2.0,0.0,2.0,34.272778,-83.826667,no,gainesville,ga
"vici, ok",accident,2002-12-03,united states,non-fatal,airplane,cessna,172m,1.0,reciprocating,0.0,0.0,0.0,0.0,36.141666,-99.303056,no,vici,ok
"eastman, ga",accident,2002-12-03,united states,non-fatal,airplane,piper,pa-28-161,1.0,reciprocating,0.0,0.0,0.0,0.0,32.369723,-81.963889,no,eastman,ga
"astoria, or",accident,2002-12-03,united states,non-fatal,airplane,learjet,36a,2.0,turbo fan,0.0,0.0,0.0,0.0,46.158056,-123.878611,no,astoria,or
"tajique, nm",accident,2002-12-03,united states,fatal(1),airplane,cessna,421c,2.0,reciprocating,1.0,0.0,0.0,0.0,34.758889,-106.4075,no,tajique,nm
"tekoa, wa",accident,2002-12-04,united states,non-fatal,airplane,luscombe,8a,1.0,reciprocating,0.0,0.0,1.0,0.0,47.257222,-117.084444,no,tekoa,wa
"dalton, ma",accident,2002-12-04,united states,non-fatal,airplane,ercoupe,415-cd,1.0,reciprocating,0.0,0.0,0.0,0.0,42.433333,-73.197222,no,dalton,ma
"phelan, ca",accident,2002-12-04,united states,fatal(1),airplane,piper,pa-28-140,1.0,reciprocating,1.0,0.0,0.0,0.0,34.5,-117.566667,no,phelan,ca
"leeds, ma",accident,2002-12-04,united states,non-fatal,airplane,cessna,172h,1.0,reciprocating,0.0,2.0,0.0,2.0,42.35,-72.7,no,leeds,ma
"cincinnati, oh",accident,2002-12-04,united states,non-fatal,airplane,cessna,210m,1.0,reciprocating,0.0,0.0,0.0,0.0,39.103333,-84.418611,no,cincinnati,oh
"holland, mi",accident,2002-12-04,united states,non-fatal,airplane,cessna,172n,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,holland,mi
"harrison, ar",accident,2002-12-04,united states,fatal(1),airplane,cessna,210l,1.0,reciprocating,1.0,0.0,0.0,0.0,36.271945,-93.156111,no,harrison,ar
"lewisville, tx",accident,2002-12-04,united states,fatal(1),airplane,cessna,402c,2.0,turbo prop,1.0,0.0,0.0,0.0,33.169723,-97.032223,no,lewisville,tx
"moline, il",accident,2002-12-05,united states,non-fatal,airplane,cessna,172m,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,moline,il
"miami, fl",accident,2002-12-05,united states,fatal(2),airplane,aaa aircraft leasing,192,1.0,reciprocating,2.0,0.0,0.0,0.0,25.799722,-80.295,no,miami,fl
"hot springs, ar",accident,2002-12-05,united states,fatal(1),airplane,rockwell commander,114,1.0,reciprocating,1.0,0.0,1.0,0.0,34.453611,-93.122223,no,hot springs,ar
"cartersville, ga",accident,2002-12-06,united states,non-fatal,airplane,cessna,172n,1.0,reciprocating,0.0,0.0,0.0,0.0,34.125,-84.848611,no,cartersville,ga
"fort myers, fl",accident,2002-12-06,united states,fatal(2),airplane,raytheon,58,2.0,reciprocating,2.0,0.0,0.0,0.0,26.556111,-81.825834,no,fort myers,fl
"arecibo, pr",accident,2002-12-06,united states,fatal(2),airplane,cessna,150l,1.0,reciprocating,2.0,0.0,0.0,0.0,18.451111,-66.675556,no,arecibo,pr
"pensacola, fl",accident,2002-12-08,united states,non-fatal,airplane,piper,pa38,1.0,reciprocating,0.0,0.0,0.0,0.0,30.473334,-87.1875,no,pensacola,fl
"scottsdale, az",accident,2002-12-08,united states,non-fatal,airplane,piper,pa-28-161,1.0,reciprocating,0.0,2.0,0.0,2.0,33.616667,-111.9,no,scottsdale,az
"agua caliente, ca",accident,2002-12-09,united states,non-fatal,airplane,cessna,t210l,1.0,reciprocating,0.0,0.0,0.0,0.0,32.95,-116.293333,no,agua caliente,ca
"eagleton, ar",accident,2002-12-09,united states,fatal(3),airplane,beech,1900c,2.0,turbo prop,3.0,0.0,0.0,0.0,34.6875,-94.219167,no,eagleton,ar
"eagle, co",accident,2002-12-10,united states,non-fatal,airplane,mooney,m20k,1.0,reciprocating,0.0,0.0,0.0,0.0,39.6425,-106.917778,no,eagle,co
"glenwood, mn",accident,2002-12-10,united states,fatal(2),airplane,north american,t-28b,1.0,reciprocating,2.0,0.0,0.0,0.0,unknown,unknown,no,glenwood,mn
"suffolk, va",accident,2002-12-12,united states,non-fatal,airplane,robinson,r-22,1.0,reciprocating,0.0,0.0,1.0,0.0,36.716945,-76.570278,no,suffolk,va
"fallon, nv",accident,2002-12-12,united states,non-fatal,airplane,piper,pa-12,1.0,reciprocating,0.0,0.0,0.0,0.0,39.5,-118.75,no,fallon,nv
"frankenmuth, mi",accident,2002-12-12,united states,fatal(1),airplane,stinson,108-1,1.0,reciprocating,1.0,0.0,0.0,0.0,43.303611,-83.700556,no,frankenmuth,mi
"manassas, va",incident,2002-12-13,united states,incident,airplane,piper,pa-601p,2.0,reciprocating,0.0,0.0,0.0,0.0,38.721389,-77.515556,no,manassas,va
"odessa, tx",accident,2002-12-13,united states,non-fatal,airplane,piper,pa-24-180,1.0,reciprocating,0.0,0.0,0.0,0.0,31.920556,-102.387222,no,odessa,tx
"greensburg, in",accident,2002-12-13,united states,non-fatal,airplane,piper,pa28-181,1.0,reciprocating,0.0,1.0,0.0,1.0,39.326945,-85.5225,no,greensburg,in
"petersburg, ak",accident,2002-12-13,united states,fatal(1),airplane,cessna,180,1.0,reciprocating,1.0,0.0,0.0,0.0,56.8,-132.933333,no,petersburg,ak
"jacksonville, fl",accident,2002-12-14,united states,non-fatal,airplane,beech,200,2.0,turbo prop,0.0,0.0,0.0,0.0,30.493889,-81.687777,no,jacksonville,fl
"cashiers, nc",accident,2002-12-14,united states,non-fatal,airplane,piper,pa-28-150,1.0,reciprocating,0.0,1.0,0.0,1.0,35.25,-83.166667,no,cashiers,nc
"bryson, tx",accident,2002-12-14,united states,non-fatal,airplane,piper,pa-28-235,1.0,reciprocating,0.0,0.0,0.0,0.0,33.108889,-98.555556,no,bryson,tx
"laurens, sc",accident,2002-12-15,united states,non-fatal,airplane,beech,a36,1.0,reciprocating,0.0,0.0,0.0,0.0,34.511667,-81.95,no,laurens,sc
"jackson, mi",accident,2002-12-15,united states,non-fatal,airplane,piper,pa-30,2.0,reciprocating,0.0,0.0,1.0,0.0,42.259722,-24.459167,no,jackson,mi
"seattle, wa",accident,2002-12-16,united states,non-fatal,airplane,hawker siddeley,dh-125,2.0,turbo fan,0.0,0.0,0.0,0.0,47.516667,-122.303333,no,seattle,wa
"crystal river, fl",accident,2002-12-16,united states,non-fatal,airplane,cessna,a150m,1.0,reciprocating,0.0,0.0,0.0,0.0,25.867778,-82.574445,no,crystal river,fl
"anaheim hills, ca",accident,2002-12-16,united states,fatal(2),airplane,piper,pa-24-250,1.0,reciprocating,2.0,0.0,0.0,0.0,33.834444,-117.776111,no,anaheim hills,ca
"agana, gu",incident,2002-12-17,united states,incident,airplane,airbus industrie,330-301,2.0,turbo fan,0.0,0.0,0.0,0.0,unknown,unknown,no,agana,gu
"rockford, il",accident,2002-12-17,united states,fatal(1),airplane,cessna,208b,1.0,turbo prop,1.0,0.0,0.0,0.0,42.168611,-89.151389,no,rockford,il
"los banos, ca",accident,2002-12-18,united states,non-fatal,airplane,schweizer,269c,1.0,reciprocating,0.0,0.0,0.0,0.0,37.063056,-120.869445,no,los banos,ca
"soldotna, ak",accident,2002-12-18,united states,non-fatal,airplane,swearingen,sa-226t,2.0,turbo prop,0.0,0.0,0.0,0.0,60.466667,-151.016667,no,soldotna,ak
"palmer, ak",accident,2002-12-18,united states,non-fatal,airplane,piper,pa-18-105,1.0,reciprocating,0.0,0.0,0.0,0.0,61.25,-148.55,no,palmer,ak
"king salmon, ak",accident,2002-12-19,united states,fatal(1),airplane,aviat,a-1b,1.0,reciprocating,1.0,0.0,1.0,0.0,57.619445,-165.5025,no,king salmon,ak
"wink, tx",accident,2002-12-20,united states,non-fatal,airplane,cessna,195,1.0,reciprocating,0.0,0.0,0.0,0.0,31.779723,-103.201389,no,wink,tx
"osage beach, mo",accident,2002-12-20,united states,non-fatal,airplane,piper,pa-28-180,1.0,reciprocating,0.0,2.0,0.0,2.0,38.135277,-92.652222,no,osage beach,mo
"woodbury, ct",accident,2002-12-20,united states,fatal(2),airplane,piper,pa-32r-301t,1.0,reciprocating,2.0,0.0,0.0,0.0,41.5225,-73.168056,no,woodbury,ct
"macon, ga",accident,2002-12-20,united states,fatal(4),airplane,piper,pa-32-300,1.0,reciprocating,4.0,1.0,0.0,1.0,32.821945,-83.561944,no,macon,ga
"pacoima, ca",accident,2002-12-21,united states,non-fatal,airplane,cessna,172n,1.0,reciprocating,0.0,0.0,0.0,0.0,34.265556,-118.413611,no,pacoima,ca
"denver city, tx",accident,2002-12-21,united states,non-fatal,airplane,beech,be-35,1.0,reciprocating,0.0,0.0,0.0,0.0,32.975,-102.841944,no,denver city,tx
"west helena, ar",accident,2002-12-22,united states,non-fatal,airplane,cessna,170a,1.0,reciprocating,0.0,0.0,0.0,0.0,34.576389,-90.675834,no,west helena,ar
"fritch, tx",accident,2002-12-22,united states,non-fatal,airplane,hughes,369e,1.0,turbo prop,0.0,0.0,0.0,0.0,35.789722,-101.9725,no,fritch,tx
"carleton, mi",accident,2002-12-22,united states,non-fatal,airplane,piper,pa-28-235,1.0,reciprocating,0.0,0.0,0.0,0.0,42.018056,-83.377223,no,carleton,mi
"chehalis, wa",accident,2002-12-23,united states,non-fatal,airplane,grumman american,aa-1,1.0,reciprocating,0.0,1.0,1.0,1.0,46.667223,-122.982223,no,chehalis,wa
"dolan springs, az",accident,2002-12-23,united states,fatal(2),airplane,robinson,r22 beta,1.0,reciprocating,2.0,0.0,0.0,0.0,35.5,-114.5,no,dolan springs,az
"tea, sd",accident,2002-12-24,united states,non-fatal,airplane,cessna,172s,1.0,reciprocating,0.0,0.0,0.0,0.0,43.4575,-96.801944,no,tea,sd
"egypt, ar",accident,2002-12-24,united states,fatal(1),airplane,beech,be-58,2.0,reciprocating,1.0,0.0,0.0,0.0,35.861667,-90.968334,no,egypt,ar
"manteo, nc",accident,2002-12-25,united states,fatal(1),airplane,cessna,208b,1.0,turbo prop,1.0,0.0,0.0,0.0,35.900556,-75.733333,no,manteo,nc
"hollywood, fl",accident,2002-12-25,united states,non-fatal,airplane,beech,f-35,1.0,reciprocating,0.0,0.0,0.0,0.0,26.0025,-80.245277,no,hollywood,fl
"akron, co",accident,2002-12-25,united states,fatal(2),airplane,cessna,421,2.0,reciprocating,2.0,0.0,0.0,0.0,40.183333,-103.238611,no,akron,co
"akron, oh",accident,2002-12-26,united states,non-fatal,airplane,cessna,172s,1.0,reciprocating,0.0,0.0,0.0,0.0,40.916111,-81.442222,no,akron,oh
"tallahassee, fl",accident,2002-12-26,united states,non-fatal,airplane,piper,pa-30,2.0,reciprocating,0.0,0.0,0.0,0.0,30.396389,-84.333611,no,tallahassee,fl
"spanish fork, ut",accident,2002-12-26,united states,non-fatal,airplane,piper,pa-28-181,1.0,reciprocating,0.0,1.0,1.0,1.0,40.141666,-111.661111,no,spanish fork,ut
"nashville, tn",accident,2002-12-27,united states,non-fatal,airplane,cessna,182s,1.0,reciprocating,0.0,2.0,0.0,2.0,36.183333,-86.888889,no,nashville,tn
"durango, co",accident,2002-12-28,united states,non-fatal,airplane,beech,f33a,1.0,reciprocating,0.0,0.0,0.0,0.0,37.151389,-107.753889,no,durango,co
"nikolai, ak",accident,2002-12-28,united states,non-fatal,airplane,de havilland,dhc-3,1.0,reciprocating,0.0,0.0,0.0,0.0,62.866667,-153.916667,no,nikolai,ak
"addison, tx",accident,2002-12-28,united states,fatal(1),airplane,beech,f-35,1.0,reciprocating,1.0,0.0,0.0,0.0,32.953889,-96.809722,no,addison,tx
"steamboat spgs, co",accident,2002-12-29,united states,fatal(1),airplane,piper,pa-32-300,1.0,reciprocating,1.0,0.0,3.0,0.0,40.334722,-106.688889,no,steamboat spgs,co
"blairstown, nj",accident,2002-12-30,united states,non-fatal,airplane,piper,pa-18a 150,1.0,reciprocating,0.0,0.0,0.0,0.0,40.971111,-74.9975,no,blairstown,nj
"brownsville, tx",accident,2002-12-30,united states,non-fatal,airplane,cessna,t207,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,brownsville,tx
"mount union, pa",accident,2002-12-31,united states,non-fatal,airplane,socata,tb 9,1.0,reciprocating,0.0,0.0,0.0,0.0,40.318056,-77.876111,no,mount union,pa
"stuart, fl",accident,2002-12-31,united states,non-fatal,airplane,cessna,172f,1.0,reciprocating,0.0,0.0,0.0,0.0,27.236666,-80.561667,no,stuart,fl
"austell, ga",accident,2002-12-31,united states,non-fatal,airplane,piper,pa-28-180,1.0,reciprocating,0.0,0.0,2.0,0.0,33.811389,-84.606944,no,austell,ga
"tucson, az",accident,2003-01-01,united states,fatal(1),airplane,beech,95,2.0,reciprocating,1.0,0.0,3.0,0.0,32.141389,-11.169445,no,tucson,az
"milford, ut",accident,2003-01-01,united states,non-fatal,airplane,aircraft mfg & dev. co. (amd),ch2000,1.0,reciprocating,0.0,0.0,2.0,0.0,38.283333,-112.9,no,milford,ut
"shreveport, la",accident,2003-01-02,united states,fatal(2),airplane,grumman american,aa-1a,1.0,reciprocating,2.0,0.0,0.0,0.0,32.593055,-93.765556,no,shreveport,la
"jessup, ga",accident,2003-01-03,united states,non-fatal,airplane,cessna,150k,1.0,reciprocating,0.0,0.0,0.0,0.0,31.431667,-81.82,no,jessup,ga
"mc allen, tx",accident,2003-01-03,united states,non-fatal,airplane,cessna,401,2.0,reciprocating,0.0,0.0,0.0,0.0,26.175,-98.238611,no,mc allen,tx
"alton, il",accident,2003-01-03,united states,non-fatal,airplane,cessna,182s,1.0,reciprocating,0.0,0.0,0.0,0.0,38.890277,-90.046111,no,alton,il
"immokalee, fl",accident,2003-01-03,united states,non-fatal,airplane,mielec,pzl-m-18,1.0,turbo prop,0.0,0.0,0.0,0.0,26.538055,-81.758611,no,immokalee,fl
"melbourne, fl",accident,2003-01-04,united states,non-fatal,airplane,cessna,172k,1.0,reciprocating,0.0,0.0,0.0,0.0,28.102778,-80.645833,no,melbourne,fl
"springdale, ar",accident,2003-01-04,united states,non-fatal,airplane,champion,7fc,1.0,reciprocating,0.0,0.0,0.0,0.0,36.176389,-94.119167,no,springdale,ar
"melbourne, fl",accident,2003-01-04,united states,non-fatal,airplane,north american,at-6a,1.0,reciprocating,0.0,0.0,0.0,0.0,28.102778,-80.645833,no,melbourne,fl
"collinsville, ca",accident,2003-01-04,united states,fatal(1),airplane,schweizer,269c,1.0,reciprocating,1.0,0.0,0.0,0.0,38.0675,-121.833611,no,collinsville,ca
"telluride, co",incident,2003-01-04,united states,incident,airplane,hawker siddeley,hs-125-700a,2.0,turbo fan,0.0,0.0,0.0,0.0,37.953889,-107.908611,no,telluride,co
"ada, mn",accident,2003-01-04,united states,non-fatal,airplane,cessna,310r,2.0,reciprocating,0.0,1.0,1.0,1.0,unknown,unknown,no,ada,mn
"morristown, nj",accident,2003-01-05,united states,non-fatal,airplane,mooney,20j,1.0,reciprocating,0.0,0.0,0.0,0.0,40.799166,-74.414722,no,morristown,nj
"cleveland, oh",accident,2003-01-06,united states,non-fatal,airplane,embraer,erj-145lr,2.0,turbo fan,0.0,0.0,0.0,0.0,41.445833,-81.8425,no,cleveland,oh
"barrington hill, il",accident,2003-01-07,united states,non-fatal,airplane,piper,pa-23-250,2.0,reciprocating,0.0,0.0,0.0,0.0,42.138889,-88.241666,no,barrington hill,il
"medford, or",accident,2003-01-08,united states,non-fatal,airplane,bombardier,dhc-8-401,2.0,turbo prop,0.0,0.0,1.0,0.0,42.446944,-122.860556,no,medford,or
"springdale, ar",accident,2003-01-08,united states,non-fatal,airplane,cessna,172s,1.0,reciprocating,0.0,0.0,0.0,0.0,36.176389,-94.119167,no,springdale,ar
"bountiful, ut",accident,2003-01-08,united states,non-fatal,airplane,piper,pa-34-200,2.0,reciprocating,0.0,0.0,0.0,0.0,40.869445,-111.927223,no,bountiful,ut
"traverse city, mi",accident,2003-01-08,united states,non-fatal,airplane,cessna,152,1.0,reciprocating,0.0,0.0,0.0,0.0,44.741389,-85.582223,no,traverse city,mi
"garner, ia",accident,2003-01-08,united states,non-fatal,airplane,cessna,150j,1.0,reciprocating,0.0,0.0,0.0,0.0,43.114444,-93.594444,no,garner,ia
"geneva, al",accident,2003-01-08,united states,non-fatal,airplane,aero commander,100,1.0,reciprocating,0.0,0.0,0.0,0.0,31.055278,-85.880278,no,geneva,al
"flagstaff, az",accident,2003-01-08,united states,fatal(4),airplane,piper,pa-23-250,2.0,reciprocating,4.0,0.0,0.0,0.0,35.305833,-111.618334,no,flagstaff,az
"warner springs, ca",accident,2003-01-08,united states,fatal(1),airplane,mooney,m20c,1.0,reciprocating,1.0,0.0,0.0,0.0,33.366945,-116.584166,no,warner springs,ca
"charlotte, nc",accident,2003-01-08,united states,fatal(21),airplane,beech,1900d,2.0,turbo prop,21.0,1.0,0.0,1.0,unknown,unknown,no,charlotte,nc
"parker, az",accident,2003-01-09,united states,non-fatal,airplane,davis,yak-3 ur-2000,1.0,reciprocating,0.0,0.0,1.0,0.0,34.15,-114.266667,no,parker,az
"jean, nv",accident,2003-01-09,united states,non-fatal,airplane,boeing stearman,pt-17,1.0,reciprocating,0.0,3.0,0.0,3.0,35.775556,-115.631389,no,jean,nv
"jean, nv",accident,2003-01-09,united states,non-fatal,airplane,aeronca,7ac,1.0,reciprocating,0.0,3.0,0.0,3.0,35.775556,-115.631389,no,jean,nv
"roanoke, tx",accident,2003-01-09,united states,non-fatal,airplane,piper,pa-28r-200,1.0,reciprocating,0.0,0.0,0.0,0.0,33.049722,-97.232223,no,roanoke,tx
"prescott, az",accident,2003-01-10,united states,non-fatal,airplane,waco,sre,1.0,reciprocating,0.0,2.0,0.0,2.0,34.654444,-112.419723,no,prescott,az
"everglades city, fl",accident,2003-01-11,united states,non-fatal,airplane,cessna,150k,1.0,reciprocating,0.0,1.0,1.0,1.0,25.856111,-81.399722,no,everglades city,fl
"parker, az",accident,2003-01-11,united states,fatal(2),airplane,grumman,f6f-5,1.0,reciprocating,2.0,0.0,0.0,0.0,34.144166,-114.251111,no,parker,az
"new middleton, oh",accident,2003-01-11,united states,non-fatal,airplane,piper,pa-28-140,1.0,reciprocating,0.0,1.0,0.0,1.0,40.961667,-80.677223,no,new middleton,oh
"dayton, tn",accident,2003-01-11,united states,non-fatal,airplane,aviat,husky,1.0,reciprocating,0.0,0.0,0.0,0.0,35.486111,-84.931111,no,dayton,tn
"mt. pleasant, sc",accident,2003-01-11,united states,non-fatal,airplane,cessna,172s,1.0,reciprocating,0.0,0.0,0.0,0.0,32.897777,-79.782778,no,mt. pleasant,sc
"kahului, hi",incident,2003-01-11,united states,incident,airplane,boeing,717-200,2.0,turbo fan,0.0,0.0,0.0,0.0,20.9,-156.433333,no,kahului,hi
"parker, az",accident,2003-01-11,united states,fatal(2),airplane,cessna,182h,1.0,reciprocating,2.0,0.0,0.0,0.0,34.144166,-114.251111,no,parker,az
"westlake villag, ca",accident,2003-01-11,united states,non-fatal,airplane,piper,pa-34-200,2.0,reciprocating,0.0,0.0,2.0,0.0,34.133333,-118.716667,no,westlake villag,ca
"salt lake city, ut",incident,2003-01-11,united states,incident,airplane,boeing,757-222,2.0,turbo fan,0.0,0.0,0.0,0.0,40.788333,-111.992777,no,salt lake city,ut
"tacoma, wa",accident,2003-01-12,united states,non-fatal,airplane,mooney,m20f,1.0,reciprocating,0.0,0.0,0.0,0.0,47.276389,-122.576945,no,tacoma,wa
"charleston, mo",accident,2003-01-12,united states,non-fatal,airplane,cessna,150m,1.0,reciprocating,0.0,0.0,0.0,0.0,36.841944,-89.359444,no,charleston,mo
"mansfield, mo",accident,2003-01-13,united states,non-fatal,airplane,piper,pa-38-112,1.0,reciprocating,0.0,0.0,0.0,0.0,37.127778,-92.620834,no,mansfield,mo
"gig harbor, wa",accident,2003-01-14,united states,non-fatal,airplane,cessna,172k,1.0,reciprocating,0.0,0.0,0.0,0.0,47.331111,-122.588889,no,gig harbor,wa
"palm springs, ca",accident,2003-01-14,united states,non-fatal,airplane,cessna,414,2.0,reciprocating,0.0,2.0,1.0,2.0,33.85,-116.483333,no,palm springs,ca
"alamo, tx",accident,2003-01-14,united states,non-fatal,airplane,air tractor,at-401,1.0,reciprocating,0.0,0.0,1.0,0.0,26.153056,-98.136111,no,alamo,tx
"oshkosh, wi",accident,2003-01-14,united states,non-fatal,airplane,robinson,r22b,1.0,reciprocating,0.0,3.0,0.0,3.0,43.984444,-88.590277,no,oshkosh,wi
"jamaica, ny",incident,2003-01-14,united states,incident,airplane,mcdonnell douglas,md-11-c,3.0,turbo fan,0.0,0.0,0.0,0.0,40.639722,-73.778889,no,jamaica,ny
"brawley, ca",accident,2003-01-15,united states,non-fatal,airplane,cessna,a188a,1.0,reciprocating,0.0,0.0,0.0,0.0,33,-115.5,no,brawley,ca
"salinas, ca",accident,2003-01-16,united states,non-fatal,airplane,cessna,152,1.0,reciprocating,0.0,0.0,0.0,0.0,39.65,-121.610556,no,salinas,ca
"midway, ut",accident,2003-01-16,united states,fatal(2),airplane,yakovlev,yak 52,1.0,reciprocating,2.0,0.0,0.0,0.0,40.596666,-111.455,no,midway,ut
"indianapolis, in",incident,2003-01-16,united states,incident,airplane,boeing,737-83n,2.0,turbo jet,0.0,0.0,0.0,0.0,39.717223,-86.294444,no,indianapolis,in
"truckee, ca",accident,2003-01-17,united states,non-fatal,airplane,beech,76,2.0,reciprocating,0.0,0.0,0.0,0.0,39.322223,-120.143611,no,truckee,ca
"poughkeepsie, ny",accident,2003-01-18,united states,non-fatal,airplane,piper,pa-28-180,1.0,reciprocating,0.0,0.0,0.0,0.0,41.626667,-73.884166,no,poughkeepsie,ny
"payson, az",accident,2003-01-18,united states,non-fatal,airplane,taylorcraft,f21,1.0,reciprocating,0.0,0.0,0.0,0.0,34.033333,-111.033333,no,payson,az
"chesapeake, va",accident,2003-01-18,united states,non-fatal,airplane,cessna,172,1.0,reciprocating,0.0,0.0,0.0,0.0,36.78,-76.448889,no,chesapeake,va
"laconia, nh",accident,2003-01-18,united states,non-fatal,airplane,piper,pa-46-350p,1.0,reciprocating,0.0,0.0,0.0,0.0,43.5725,-71.418889,no,laconia,nh
"fitzgerald, ga",accident,2003-01-18,united states,non-fatal,airplane,beech,65,2.0,reciprocating,0.0,0.0,0.0,0.0,31.683611,-83.270278,no,fitzgerald,ga
"eastsound, wa",accident,2003-01-18,united states,fatal(1),airplane,piper,pa-28-181,1.0,reciprocating,1.0,1.0,1.0,1.0,48.701944,-122.945833,no,eastsound,wa
"edgewater, fl",accident,2003-01-18,united states,fatal(4),airplane,cessna,172p,1.0,reciprocating,4.0,0.0,0.0,0.0,28.926389,-80.848889,no,edgewater,fl
"hammond, la",accident,2003-01-18,united states,non-fatal,airplane,beech,t-34b,1.0,reciprocating,0.0,0.0,1.0,0.0,30.520834,-90.4175,no,hammond,la
"hill city, mn",accident,2003-01-18,united states,fatal(2),airplane,cirrus design corp.,sr-22,1.0,reciprocating,2.0,0.0,0.0,0.0,46.891111,-93.596666,no,hill city,mn
"crestline, oh",accident,2003-01-19,united states,non-fatal,airplane,cessna,150f,1.0,reciprocating,0.0,0.0,0.0,0.0,40.778334,-82.6875,no,crestline,oh
"flushing, ny",accident,2003-01-19,united states,non-fatal,airplane,boeing,757-251,2.0,turbo fan,0.0,6.0,1.0,6.0,40.777223,-73.8725,no,flushing,ny
"grand island, ne",accident,2003-01-19,united states,non-fatal,airplane,cessna,175,1.0,reciprocating,0.0,0.0,0.0,0.0,40.9675,-98.309722,no,grand island,ne
"put in bay, oh",accident,2003-01-20,united states,non-fatal,airplane,cessna,207a,1.0,reciprocating,0.0,2.0,0.0,2.0,41.636666,-82.828334,no,put in bay,oh
"kipnuk, ak",accident,2003-01-21,united states,non-fatal,airplane,de havilland,dhc-6-200,2.0,turbo prop,0.0,0.0,0.0,0.0,59.933056,-164.030556,no,kipnuk,ak
"norman, ok",accident,2003-01-21,united states,fatal(1),airplane,cessna,152,1.0,reciprocating,1.0,0.0,0.0,0.0,35.173611,-97.216945,no,norman,ok
"clarence, ia",accident,2003-01-23,united states,non-fatal,airplane,cessna,210,1.0,reciprocating,0.0,0.0,0.0,0.0,41.884722,-91.153056,no,clarence,ia
"mather, ca",accident,2003-01-23,united states,non-fatal,airplane,cessna,402c,2.0,reciprocating,0.0,0.0,1.0,0.0,38.561111,-121.266667,no,mather,ca
"san jose, ca",accident,2003-01-23,united states,fatal(1),airplane,cirrus design corp.,sr 20,1.0,reciprocating,1.0,0.0,0.0,0.0,37.277778,-121.716945,no,san jose,ca
"la sal, ut",accident,2003-01-23,united states,fatal(4),airplane,piper,pa-28r-200,1.0,reciprocating,4.0,0.0,0.0,0.0,38.288889,-109.206944,no,la sal,ut
"casa grande, az",accident,2003-01-24,united states,non-fatal,airplane,mooney,m20d,1.0,reciprocating,0.0,0.0,0.0,0.0,57.538055,-111.766945,no,casa grande,az
"rancho cucamong, ca",accident,2003-01-24,united states,fatal(1),airplane,beech,95,2.0,reciprocating,1.0,0.0,0.0,0.0,34.130278,-117.609444,no,rancho cucamong,ca
"san angelo, tx",accident,2003-01-24,united states,non-fatal,airplane,cessna,208b,1.0,turbo prop,0.0,0.0,2.0,0.0,31.358333,-100.612778,no,san angelo,tx
"denver, co",accident,2003-01-24,united states,fatal(5),airplane,cessna,172p,1.0,reciprocating,5.0,6.0,0.0,6.0,39.766667,-105.05,no,denver,co
"denver, co",accident,2003-01-24,united states,fatal(5),airplane,piper,pa-31t,2.0,turbo prop,5.0,6.0,0.0,6.0,39.766667,-105.05,no,denver,co
